id,nombre,precio,unidad_medida,categoria,subcategoria,codigos_barras
467,Bistec de Puerco,120.0,Kg,Carniceria,Cerdo,
479,Chuleta Fresca,130.0,Kg,Carniceria,Cerdo,
480,Codillo,80.0,Kg,Carniceria,Cerdo,
468,Costilla de Puerco,130.0,Kg,Carniceria,Cerdo,
471,Espaldilla,110.0,Kg,Carniceria,Cerdo,
469,Espinazo,110.0,Kg,Carniceria,Cerdo,
484,Esponjado,160.0,Kg,Carniceria,Cerdo,
473,Maciza de Puerco,120.0,Kg,Carniceria,Cerdo,
472,Molida de Puerco,120.0,Kg,Carniceria,Cerdo,
478,Pastor,150.0,Kg,Carniceria,Cerdo,
483,Prensado,120.0,Kg,Carniceria,Cerdo,
492,Maíz Pozolero,60.0,Kg,Carniceria,Complementos,
494,Papa en Gajo,86.0,Kg,Carniceria,Complementos,
493,Papa para Freir,76.0,Kg,Carniceria,Complementos,
477,Chistorra,130.0,Kg,Carniceria,Embutidos y Ahumados,
475,Chorizo,100.0,Kg,Carniceria,Embutidos y Ahumados,
476,Chorizo Argentino,130.0,Kg,Carniceria,Embutidos y Ahumados,
485,Chuleta Ahumada,110.0,Kg,Carniceria,Embutidos y Ahumados,
474,Longaniza,140.0,Kg,Carniceria,Embutidos y Ahumados,
486,Tocino,180.0,Kg,Carniceria,Embutidos y Ahumados,
488,Dinonuggets,115.0,Kg,Carniceria,Empanizados y Congelados,
489,Hamburguesa de Pollo,110.0,Kg,Carniceria,Empanizados y Congelados,
487,Nuggets Pollo/Pescado,110.0,Kg,Carniceria,Empanizados y Congelados,
490,Palomitas de Pollo,110.0,Kg,Carniceria,Empanizados y Congelados,
1080,Cebo,6.0,Kg,Carniceria,Grasas y Otros,
1079,Hueso,2.0,Kg,Carniceria,Grasas y Otros,
1093,Manteca,60.0,Kg,Carniceria,Grasas y Otros,
491,Tilapia,90.0,Kg,Carniceria,Pescados y Mariscos,
495,Milanesa de Pollo,140.0,Kg,Carniceria,Pollo,
454,Agujas para Asar,200.0,Kg,Carniceria,Res,
456,Arrachera,246.0,Kg,Carniceria,Res,
453,Bistec de Res,220.0,Kg,Carniceria,Res,
462,Cecina,270.0,Kg,Carniceria,Res,
461,Chambarete c/Hueso,190.0,Kg,Carniceria,Res,
1089,Chambarete sn/Hueso,220.0,Kg,Carniceria,Res,
455,Costilla para Asar,240.0,Kg,Carniceria,Res,
460,Maciza de Res,220.0,Kg,Carniceria,Res,
470,Molida Mixta,190.0,Kg,Carniceria,Res,
458,Molida de Res,214.0,Kg,Carniceria,Res,
459,Retazo,170.0,Kg,Carniceria,Res,
457,Suadero,190.0,Kg,Carniceria,Res,
481,Cabeza de Puerco,60.0,Kg,Carniceria,Visceras y Menudencias,
482,Manos de Puerco,60.0,Kg,Carniceria,Visceras y Menudencias,
463,Panza Cruda,90.0,Kg,Carniceria,Visceras y Menudencias,
464,Panza Precocida,104.0,Kg,Carniceria,Visceras y Menudencias,
466,Pata Cruda Entera,130.0,Pieza,Carniceria,Visceras y Menudencias,
465,Pata Picada,60.0,Kg,Carniceria,Visceras y Menudencias,
